baristas,price,profit
3.0,3.0,102.2
5.0,6.454545454545455,850.264
1.0,6.2727272727272725,827.927
2.0,8.727272727272727,1714.78
4.0,5.0,549.8
3.0,3.7272727272727275,439.391
2.0,1.0,-729.5
4.0,7.636363636363637,979.036
5.0,2.3636363636363638,-681.236
1.0,9.272727272727273,1391.26
2.0,8.636363636363637,1328.38
2.0,8.727272727272727,1355.6
1.0,9.181818181818182,1362.33
1.0,9.090909090909092,1422.07
1.0,9.0,1266.5
1.0,9.090909090909092,1358.05
1.0,9.272727272727273,1555.32
2.0,8.545454545454547,1669.85
2.0,8.454545454545455,1302.84
2.0,8.727272727272727,1600.67
2.0,8.727272727272727,1699.73
2.0,8.545454545454547,1393.37
2.0,8.727272727272727,1723.01
2.0,8.727272727272727,1448.43
2.0,8.727272727272727,1535.69
2.0,8.727272727272727,1593.05
2.0,8.545454545454547,1476.37
2.0,8.727272727272727,1471.41
2.0,8.727272727272727,1909.83
2.0,8.727272727272727,1623.75
2.0,8.727272727272727,1367.69
2.0,8.727272727272727,1402.46
2.0,8.545454545454547,1214.88
2.0,8.727272727272727,1406.13
2.0,8.727272727272727,1470.61
2.0,8.727272727272727,1848.71
2.0,8.727272727272727,1596.21
2.0,8.727272727272727,1276.36
2.0,8.727272727272727,1241.69
2.0,8.727272727272727,1788.19
2.0,8.545454545454547,1304.93
2.0,8.727272727272727,1413.95
2.0,8.727272727272727,1397.9
2.0,8.727272727272727,1700.23
2.0,8.727272727272727,1501.02
2.0,8.727272727272727,1501.52
2.0,8.727272727272727,1470.51
2.0,8.727272727272727,1783.83
2.0,8.727272727272727,1681.11
2.0,8.727272727272727,1562.34
2.0,8.545454545454547,1464.75
2.0,8.727272727272727,1562.34
2.0,8.727272727272727,1570.56
2.0,8.727272727272727,1680.81
2.0,8.727272727272727,1371.35
2.0,8.727272727272727,1459.62
2.0,8.727272727272727,1616.03
2.0,8.727272727272727,1539.25
2.0,8.727272727272727,1562.84
2.0,8.727272727272727,1550.85
2.0,8.727272727272727,1356.2
2.0,8.727272727272727,1363.83
2.0,8.727272727272727,1470.81
2.0,8.727272727272727,1711.42
2.0,8.545454545454547,1271.27
2.0,8.727272727272727,1402.46
2.0,8.727272727272727,1451.79
2.0,8.727272727272727,1314.1
2.0,8.727272727272727,1531.43
2.0,8.727272727272727,1108.06
2.0,8.727272727272727,1573.93
2.0,8.727272727272727,1464.08
2.0,8.727272727272727,1574.03
2.0,8.727272727272727,1756.88
2.0,8.727272727272727,1540.15
2.0,8.727272727272727,1398.3
2.0,8.727272727272727,1670.22
2.0,8.727272727272727,1383.15
2.0,8.727272727272727,1497.45
2.0,8.727272727272727,1653.96
2.0,8.727272727272727,1383.05
2.0,8.727272727272727,1413.45
2.0,8.727272727272727,1444.06
2.0,8.727272727272727,1425.15
2.0,8.727272727272727,1459.32
2.0,8.727272727272727,1413.65
2.0,8.727272727272727,1715.48
2.0,8.727272727272727,1539.85
2.0,8.727272727272727,1081.22
2.0,8.727272727272727,1597.51
2.0,8.727272727272727,1600.77
2.0,8.727272727272727,1547.38
2.0,8.727272727272727,1509.35
2.0,8.727272727272727,1497.85
2.0,8.727272727272727,1463.18
2.0,8.727272727272727,1482.4
2.0,8.727272727272727,1425.25
2.0,8.727272727272727,1711.82
2.0,8.727272727272727,1272.3
2.0,8.727272727272727,1520.64
2.0,8.727272727272727,1348.47
2.0,8.727272727272727,1554.91
2.0,8.727272727272727,1971.15
2.0,8.727272727272727,1318.56
2.0,8.727272727272727,1932.61
2.0,8.727272727272727,1531.83
2.0,8.727272727272727,1439.9
2.0,8.727272727272727,1692.3
2.0,8.727272727272727,1501.92
2.0,8.727272727272727,1360.06
2.0,8.727272727272727,1608.1
2.0,8.727272727272727,1638.81
2.0,8.727272727272727,1730.34
2.0,8.727272727272727,1719.65
2.0,8.727272727272727,1600.17
2.0,8.727272727272727,1650.4
2.0,8.727272727272727,1344.71
2.0,8.727272727272727,1650.3
2.0,8.727272727272727,1272.0
2.0,8.727272727272727,1405.83
2.0,8.727272727272727,1559.27
2.0,8.727272727272727,1733.9
2.0,8.727272727272727,1447.43
2.0,8.727272727272727,1573.93
2.0,8.727272727272727,1562.34
2.0,8.727272727272727,1665.75
2.0,8.727272727272727,1669.12
2.0,8.727272727272727,1482.5
2.0,8.727272727272727,1249.42
2.0,8.727272727272727,1509.35
2.0,8.727272727272727,1349.07
2.0,8.727272727272727,1539.15
2.0,8.727272727272727,1577.79
2.0,8.727272727272727,1310.34
2.0,8.727272727272727,1387.21
2.0,8.727272727272727,1368.19
2.0,8.727272727272727,1520.64
2.0,8.727272727272727,1562.34
2.0,8.727272727272727,1677.35
2.0,8.727272727272727,1639.61
2.0,8.727272727272727,1536.09
2.0,8.727272727272727,1375.82
2.0,8.727272727272727,1684.27
2.0,8.727272727272727,1497.35
2.0,8.727272727272727,1432.87
2.0,8.727272727272727,1623.25
2.0,8.727272727272727,1585.52
2.0,8.727272727272727,1562.54
2.0,8.727272727272727,1494.19
2.0,8.727272727272727,1616.03
2.0,8.727272727272727,1490.13
2.0,8.727272727272727,1169.38
2.0,8.727272727272727,1604.74
2.0,8.727272727272727,1750.05
2.0,8.727272727272727,1463.18
2.0,8.727272727272727,1402.66
2.0,8.727272727272727,1489.63
2.0,8.727272727272727,1134.71
2.0,8.727272727272727,1596.51
2.0,8.727272727272727,1532.03
2.0,8.727272727272727,1165.32
2.0,8.727272727272727,1615.63
2.0,8.727272727272727,1677.35
2.0,8.727272727272727,1528.56
2.0,8.727272727272727,1608.5
2.0,8.727272727272727,1547.08
2.0,8.727272727272727,1642.67
2.0,8.727272727272727,1440.3
2.0,8.727272727272727,1577.89
2.0,8.727272727272727,1458.92
2.0,8.727272727272727,1543.12
2.0,8.727272727272727,1742.33
2.0,8.727272727272727,1676.95
2.0,8.727272727272727,1432.47
2.0,8.727272727272727,1345.31
2.0,8.727272727272727,1639.01
2.0,8.727272727272727,1722.71
2.0,8.727272727272727,1364.63
2.0,8.727272727272727,1588.98
2.0,8.727272727272727,1570.36
2.0,8.727272727272727,1779.96
2.0,8.727272727272727,1440.5
2.0,8.727272727272727,1493.69
2.0,8.727272727272727,1402.36
2.0,8.727272727272727,1455.35
2.0,8.727272727272727,1501.32
2.0,8.727272727272727,1535.99
2.0,8.727272727272727,1592.65
2.0,8.727272727272727,1753.22
2.0,8.727272727272727,1742.03
