baristas,price,profit
1.0,1.0,-490.5
1.0,1.0909090909090908,-471.555
1.0,1.1818181818181819,-430.464
1.0,1.2727272727272727,-420.955
1.0,1.3636363636363638,-384.5
1.0,1.4545454545454546,-369.555
1.0,1.5454545454545454,-332.7
1.0,1.6363636363636362,-320.991
1.0,1.7272727272727273,-285.845
1.0,1.8181818181818183,-260.845
1.0,1.9090909090909092,-246.509
1.0,2.0,-223.3
1.0,2.090909090909091,-194.827
1.0,2.1818181818181817,-169.173
1.0,2.2727272727272725,-151.264
1.0,2.3636363636363638,-135.773
1.0,2.4545454545454546,-114.909
1.0,2.5454545454545454,-84.6273
1.0,2.6363636363636367,-48.4182
1.0,2.7272727272727275,-18.5636
1.0,2.8181818181818183,-4.99091
1.0,2.909090909090909,8.69091
1.0,3.0,33.2
1.0,3.090909090909091,62.7727
1.0,3.1818181818181817,102.991
1.0,3.272727272727273,99.2909
1.0,3.3636363636363638,147.6
1.0,3.4545454545454546,144.018
1.0,3.5454545454545454,199.945
1.0,3.6363636363636362,204.445
1.0,3.7272727272727275,244.536
1.0,3.8181818181818183,248.655
1.0,3.909090909090909,281.409
1.0,4.0,279.4
1.0,4.090909090909091,330.336
1.0,4.181818181818182,307.745
1.0,4.272727272727273,350.491
1.0,4.363636363636363,405.873
1.0,4.454545454545455,388.282
1.0,4.545454545454545,419.282
1.0,4.636363636363637,424.064
1.0,4.7272727272727275,476.091
1.0,4.818181818181818,487.673
1.0,4.909090909090909,498.164
1.0,5.0,512.3
1.0,5.090909090909091,554.318
1.0,5.181818181818182,592.964
1.0,5.2727272727272725,625.091
1.0,5.363636363636363,631.6
1.0,5.454545454545455,654.3
1.0,5.545454545454546,652.7
1.0,5.636363636363637,666.427
1.0,5.7272727272727275,767.509
1.0,5.818181818181818,753.327
1.0,5.909090909090909,749.964
1.0,6.0,731.1
1.0,6.090909090909091,820.091
1.0,6.181818181818182,739.155
1.0,6.2727272727272725,861.1
1.0,6.363636363636364,881.618
1.0,6.454545454545455,899.418
1.0,6.545454545454546,952.182
1.0,6.636363636363637,942.027
1.0,6.7272727272727275,936.809
1.0,6.818181818181818,964.691
1.0,6.909090909090909,930.964
1.0,7.0,989.3
1.0,7.090909090909091,927.564
1.0,7.181818181818182,1119.12
1.0,7.2727272727272725,1017.77
1.0,7.363636363636364,1133.92
1.0,7.454545454545455,1080.92
1.0,7.545454545454546,1151.27
1.0,7.636363636363637,1072.35
1.0,7.7272727272727275,1106.45
1.0,7.818181818181818,1097.38
1.0,7.909090909090909,988.918
1.0,8.0,1115.2
1.0,8.09090909090909,1149.67
1.0,8.181818181818182,1128.35
1.0,8.272727272727273,1119.69
1.0,8.363636363636363,1219.55
1.0,8.454545454545455,1372.7
1.0,8.545454545454547,1078.62
1.0,8.636363636363637,1289.78
1.0,8.727272727272727,1306.37
1.0,8.818181818181818,1169.01
1.0,8.90909090909091,1263.19
1.0,9.0,1286.3
1.0,9.090909090909092,1350.15
1.0,9.181818181818182,1265.35
1.0,9.272727272727273,1264.34
1.0,9.363636363636363,1349.59
1.0,9.454545454545455,1222.91
1.0,9.545454545454545,1338.86
1.0,9.636363636363637,1305.97
1.0,9.727272727272727,1458.83
1.0,9.818181818181818,1579.33
1.0,9.90909090909091,1283.14
1.0,10.0,1448.4
2.0,1.0,-732.0
2.0,1.0909090909090908,-664.918
2.0,1.1818181818181819,-627.091
2.0,1.2727272727272727,-585.127
2.0,1.3636363636363638,-519.091
2.0,1.4545454545454546,-472.464
2.0,1.5454545454545454,-422.936
2.0,1.6363636363636362,-389.118
2.0,1.7272727272727273,-333.727
2.0,1.8181818181818183,-290.618
2.0,1.9090909090909092,-252.318
2.0,2.0,-181.6
2.0,2.090909090909091,-150.873
2.0,2.1818181818181817,-89.3182
2.0,2.2727272727272725,-58.3636
2.0,2.3636363636363638,-4.92727
2.0,2.4545454545454546,40.4545
2.0,2.5454545454545454,97.4091
2.0,2.6363636363636367,157.318
2.0,2.7272727272727275,182.282
2.0,2.8181818181818183,206.309
2.0,2.909090909090909,224.318
2.0,3.0,334.8
2.0,3.090909090909091,323.182
2.0,3.1818181818181817,413.273
2.0,3.272727272727273,412.509
2.0,3.3636363636363638,447.791
2.0,3.4545454545454546,529.336
2.0,3.5454545454545454,558.245
2.0,3.6363636363636362,534.855
2.0,3.7272727272727275,613.009
2.0,3.8181818181818183,631.7
2.0,3.909090909090909,693.564
2.0,4.0,732.8
2.0,4.090909090909091,764.036
2.0,4.181818181818182,845.945
2.0,4.272727272727273,833.945
2.0,4.363636363636363,922.818
2.0,4.454545454545455,984.973
2.0,4.545454545454545,912.482
2.0,4.636363636363637,999.418
2.0,4.7272727272727275,982.164
2.0,4.818181818181818,1076.57
2.0,4.909090909090909,1103.8
2.0,5.0,1124.9
2.0,5.090909090909091,1232.6
2.0,5.181818181818182,1047.71
2.0,5.2727272727272725,926.064
2.0,5.363636363636363,1156.05
2.0,5.454545454545455,1059.69
2.0,5.545454545454546,1113.29
2.0,5.636363636363637,1149.67
2.0,5.7272727272727275,1109.55
2.0,5.818181818181818,1068.75
2.0,5.909090909090909,1215.04
2.0,6.0,1441.7
2.0,6.090909090909091,1395.26
2.0,6.181818181818182,1233.94
2.0,6.2727272727272725,1359.13
2.0,6.363636363636364,1385.89
2.0,6.454545454545455,1451.66
2.0,6.545454545454546,1271.69
2.0,6.636363636363637,1339.71
2.0,6.7272727272727275,1371.98
2.0,6.818181818181818,1396.33
2.0,6.909090909090909,1312.78
2.0,7.0,1535.5
2.0,7.090909090909091,1266.58
